session_id,timestamp_utc,tod_bucket,dow,src_asn,src_cc,src_isp,ip_version,prob_cgnat,port,protocol_label,flow,allowInsecure,server_build,alpn_negotiated,tls_version,cipher_chosen,ja3,ja4,utls_inferred,alpn_offered_set_hash,sni_bucket,cdn_vendor,dest_bucket,tcp_rst_seen,syn_retries,tls_alert_desc,retransmissions,tt_handshake_ms,ttfb_ms,throughput_kbps,session_duration_s,bytes_up,bytes_down,signature_based_match,protocol_state_tracking,heuristic_behavior_score,packet_size_mean,packet_size_std,packet_size_p95,interarrival_mean_ms,interarrival_std_ms,flow_duration_ms,byte_entropy,ascii_ratio_initial32,byte_freq_bin_00_31,byte_freq_bin_32_63,byte_freq_bin_64_95,byte_freq_bin_96_127,byte_freq_bin_128_159,byte_freq_bin_160_191,byte_freq_bin_192_223,byte_freq_bin_224_255,connection_pattern_bucket,payload_to_header_ratio,dns_qname_bucket,dns_rcode,dns_ttl_s,ttl_mean,fragmentation_seen,label_success,hist_success_rate_by_bucket,hist_success_rate_by_sni,hist_success_rate_by_port,hist_success_rate_by_ja3,ratio_handshake_totaldelay,ema_throughput_kbps_24h,onehot_morning,onehot_noon,onehot_evening,onehot_midnight
3879f7ddb885,2026-03-15T14:40:53Z,noon,6,UNKNOWN,UNKNOWN,UNKNOWN,ipv4,False,2097,vless-tcp-tls,not_applicable,False,xray-core 1.8.24,not_observed,TLS 1.3,not_observed,not_observed,t13d1516h2_8daaf6152771_d8a2da3f94cd,not_observed,not_observed,ourbluesky_front,Origin,ourbluesky_front,False,1,not_observed,0,1105.872,1105.872,0.72,47.08,2616,4239,1,timeout,0.15,360.789,544.297,1422.3,2615.551,10460.94,47080.0,7.2804,0.1875,0.2578,0.1406,0.0918,0.1074,0.0957,0.1289,0.0996,0.0781,interactive,5.348,not_observed,not_observed,not_observed,55.579,False,0,0.0,0.0,0.0,0.0,1.0,55.366,0,1,0,0
d8dd48cf0611,2026-03-15T14:40:54Z,noon,6,UNKNOWN,UNKNOWN,UNKNOWN,ipv4,False,2097,vless-tcp-tls,not_applicable,False,xray-core 1.8.24,not_observed,TLS 1.3,not_observed,not_observed,t13d1516h2_8daaf6152771_d8a2da3f94cd,not_observed,not_observed,ourbluesky_front,Origin,ourbluesky_front,True,0,not_observed,0,124.586,124.586,67.154,10.487,10524,88030,1,reset,0.35,730.03,636.898,1380.0,78.263,727.978,10487.0,7.0562,0.2812,0.3105,0.1289,0.0762,0.1289,0.1016,0.1035,0.084,0.0664,interactive,12.6466,not_observed,not_observed,not_observed,57.6,False,0,0.0,0.0,0.0,0.0,1.0,57.724,0,1,0,0
dd09a25ee36b,2026-03-15T14:40:54Z,noon,6,UNKNOWN,UNKNOWN,UNKNOWN,ipv4,False,2097,vless-tcp-tls,not_applicable,False,xray-core 1.8.24,not_observed,TLS 1.3,not_observed,not_observed,t13d1516h2_8daaf6152771_d8a2da3f94cd,not_observed,not_observed,ourbluesky_front,Origin,ourbluesky_front,True,0,not_observed,0,114.717,114.717,10.118,10.476,8492,13249,1,reset,0.35,443.694,607.275,1380.0,218.25,1236.485,10476.0,7.0697,0.1875,0.3145,0.125,0.0801,0.1289,0.0859,0.0918,0.0977,0.0762,interactive,7.1352,not_observed,not_observed,not_observed,55.51,False,0,0.0,0.0,0.0,0.0,1.0,48.203,0,1,0,0
b56244028324,2026-03-15T14:40:54Z,noon,6,UNKNOWN,UNKNOWN,UNKNOWN,ipv4,False,2097,vless-tcp-tls,not_applicable,False,xray-core 1.8.24,not_observed,TLS 1.3,not_observed,not_observed,t13d1516h2_8daaf6152771_d8a2da3f94cd,not_observed,not_observed,ourbluesky_front,Origin,ourbluesky_front,True,0,not_observed,0,119.908,119.908,40.663,10.468,10244,53208,1,reset,0.35,654.144,634.465,1380.0,109.042,851.817,10468.0,6.9648,0.1875,0.3496,0.127,0.0723,0.1094,0.0723,0.0762,0.1035,0.0898,interactive,11.1854,not_observed,not_observed,not_observed,56.577,False,0,0.0,0.0,0.0,0.0,1.0,46.695,0,1,0,0
b63536870a46,2026-03-15T14:41:06Z,noon,6,UNKNOWN,UNKNOWN,UNKNOWN,ipv4,False,2097,vless-tcp-tls,not_applicable,False,xray-core 1.8.24,not_observed,TLS 1.3,not_observed,not_observed,t13d1516h2_8daaf6152771_d8a2da3f94cd,not_observed,not_observed,ourbluesky_front,Origin,ourbluesky_front,True,0,not_observed,0,111.153,111.153,35.15,2.024,4019,8893,1,reset,0.35,322.8,444.1,1380.0,51.904,155.385,2024.0,7.1942,0.3125,0.2715,0.1074,0.1152,0.1191,0.084,0.0957,0.1055,0.1016,short_burst,4.8119,not_observed,not_observed,not_observed,55.6,False,0,0.0,0.0,0.0,0.0,1.0,44.386,0,1,0,0
33d31d64b3a2,2026-03-15T14:41:06Z,noon,6,UNKNOWN,UNKNOWN,UNKNOWN,ipv4,False,2097,vless-tcp-tls,not_applicable,False,xray-core 1.8.24,not_observed,TLS 1.3,not_observed,not_observed,t13d1516h2_8daaf6152771_d8a2da3f94cd,not_observed,not_observed,ourbluesky_front,Origin,ourbluesky_front,False,0,not_observed,0,104.916,104.916,0.731,45.813,2631,4186,1,partial,0.0,401.0,579.961,1483.8,2863.332,11008.694,45813.0,7.175,0.1875,0.2891,0.0996,0.082,0.1289,0.0898,0.1152,0.084,0.1113,interactive,6.1967,not_observed,not_observed,not_observed,55.529,False,0,0.0,0.0,0.0,0.0,1.0,35.655,0,1,0,0
bed17fdbdb5b,2026-03-15T14:41:07Z,noon,6,UNKNOWN,UNKNOWN,UNKNOWN,ipv4,False,2097,vless-tcp-tls,not_applicable,False,xray-core 1.8.24,not_observed,TLS 1.3,not_observed,not_observed,t13d1516h2_8daaf6152771_d8a2da3f94cd,not_observed,not_observed,ourbluesky_front,Origin,ourbluesky_front,False,0,not_observed,0,104.754,104.754,0.739,45.353,2555,4190,1,partial,0.0,396.765,565.149,1464.6,2834.563,10885.708,45353.0,7.0132,0.3125,0.3203,0.1094,0.0723,0.123,0.0977,0.1191,0.0801,0.0781,interactive,6.1167,not_observed,not_observed,not_observed,55.529,False,0,0.0,0.0,0.0,0.0,1.0,28.672,0,1,0,0
dbedec3b2b4f,2026-03-15T14:41:07Z,noon,6,UNKNOWN,UNKNOWN,UNKNOWN,ipv4,False,2097,vless-tcp-tls,not_applicable,False,xray-core 1.8.24,not_observed,TLS 1.3,not_observed,not_observed,t13d1516h2_8daaf6152771_d8a2da3f94cd,not_observed,not_observed,ourbluesky_front,Origin,ourbluesky_front,True,0,not_observed,0,138.516,138.516,22.773,2.953,3395,8406,1,reset,0.35,393.367,526.158,1380.0,101.812,257.45,2953.0,6.925,0.25,0.334,0.1328,0.0645,0.1172,0.0781,0.0879,0.0977,0.0879,short_burst,6.1618,not_observed,not_observed,not_observed,55.467,False,0,0.0,0.0,0.0,0.0,1.0,27.492,0,1,0,0
f8d29fd675a7,2026-03-15T14:41:07Z,noon,6,UNKNOWN,UNKNOWN,UNKNOWN,ipv4,False,2097,vless-tcp-tls,not_applicable,False,xray-core 1.8.24,not_observed,TLS 1.3,not_observed,not_observed,t13d1516h2_8daaf6152771_d8a2da3f94cd,not_observed,not_observed,ourbluesky_front,Origin,ourbluesky_front,True,0,not_observed,0,120.509,120.509,24.439,1.858,4699,5676,1,reset,0.35,314.394,417.847,1380.0,58.065,171.05,1858.0,7.3678,0.2188,0.2324,0.1152,0.1152,0.0996,0.1133,0.125,0.1016,0.0977,short_burst,4.6879,not_observed,not_observed,not_observed,55.758,False,0,0.0,0.0,0.0,0.0,1.0,26.881,0,1,0,0
ce39c6a6cd15,2026-03-15T14:41:07Z,noon,6,UNKNOWN,UNKNOWN,UNKNOWN,ipv4,False,2097,vless-tcp-tls,not_applicable,False,xray-core 1.8.24,not_observed,TLS 1.3,not_observed,not_observed,t13d1516h2_8daaf6152771_d8a2da3f94cd,not_observed,not_observed,ourbluesky_front,Origin,ourbluesky_front,False,0,not_observed,0,120.675,120.675,0.732,45.554,2564,4170,1,partial,0.0,396.118,565.418,1464.6,2847.097,10917.53,45554.0,7.3328,0.3438,0.2227,0.1211,0.1133,0.1309,0.1133,0.1035,0.1094,0.0859,interactive,6.1044,not_observed,not_observed,not_observed,55.529,False,0,0.0,0.0,0.0,0.0,1.0,21.651,0,1,0,0
cc69c415bf2b,2026-03-15T14:41:07Z,noon,6,UNKNOWN,UNKNOWN,UNKNOWN,ipv4,False,2097,vless-tcp-tls,not_applicable,False,xray-core 1.8.24,not_observed,TLS 1.3,not_observed,not_observed,t13d1516h2_8daaf6152771_d8a2da3f94cd,not_observed,not_observed,ourbluesky_front,Origin,ourbluesky_front,False,0,not_observed,0,107.897,107.897,0.732,45.569,2660,4169,1,partial,0.0,401.706,579.683,1483.8,2848.076,10917.382,45569.0,7.3643,0.125,0.209,0.1367,0.0801,0.127,0.123,0.0918,0.1387,0.0938,interactive,6.21,not_observed,not_observed,not_observed,55.529,False,0,0.0,0.0,0.0,0.0,1.0,17.467,0,1,0,0
abe5309c997d,2026-03-15T14:41:07Z,noon,6,UNKNOWN,UNKNOWN,UNKNOWN,ipv4,False,2097,vless-tcp-tls,not_applicable,False,xray-core 1.8.24,not_observed,TLS 1.3,not_observed,not_observed,t13d1516h2_8daaf6152771_d8a2da3f94cd,not_observed,not_observed,ourbluesky_front,Origin,ourbluesky_front,False,0,not_observed,0,114.381,114.381,1.538,46.913,5106,9019,1,partial,0.0,428.03,533.092,1380.0,1466.017,8001.453,46913.0,7.2738,0.25,0.2734,0.1289,0.1094,0.1074,0.0898,0.0996,0.1133,0.0781,interactive,6.7742,not_observed,not_observed,not_observed,55.273,False,0,0.0,0.0,0.0,0.0,1.0,14.281,0,1,0,0
2ffa096646f5,2026-03-15T14:41:07Z,noon,6,UNKNOWN,UNKNOWN,UNKNOWN,ipv4,False,2097,vless-tcp-tls,not_applicable,False,xray-core 1.8.24,not_observed,TLS 1.3,not_observed,not_observed,t13d1516h2_8daaf6152771_d8a2da3f94cd,not_observed,not_observed,ourbluesky_front,Origin,ourbluesky_front,True,0,not_observed,0,114.124,114.124,0.704,61.716,6567,5428,1,reset,0.35,292.561,473.028,1380.0,1542.891,7307.957,61716.0,7.2619,0.1875,0.2617,0.1191,0.1055,0.1328,0.1133,0.1074,0.0957,0.0645,interactive,4.2613,not_observed,not_observed,not_observed,55.805,False,0,0.0,0.0,0.0,0.0,1.0,11.566,0,1,0,0
